MoveNumber,Player,PlayerRating,FEN,SAN,UCI,Result
11,White,1502,r1bqkbnr/pp3ppp/2np4/4p3/4P3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 6,Bb5,f1b5,0-1
12,Black,1518,r1bqkbnr/pp3ppp/2np4/1B2p3/4P3/5N2/PPP2PPP/RNBQK2R b KQkq - 1 6,f5,f7f5,0-1
13,White,1502,r1bqkbnr/pp4pp/2np4/1B2pp2/4P3/5N2/PPP2PPP/RNBQK2R w KQkq - 0 7,Nc3,b1c3,0-1
14,Black,1518,r1bqkbnr/pp4pp/2np4/1B2pp2/4P3/2N2N2/PPP2PPP/R1BQK2R b KQkq - 1 7,f4,f5f4,0-1
15,White,1502,r1bqkbnr/pp4pp/2np4/1B2p3/4Pp2/2N2N2/PPP2PPP/R1BQK2R w KQkq - 0 8,Qd5,d1d5,0-1
16,Black,1518,r1bqkbnr/pp4pp/2np4/1B1Qp3/4Pp2/2N2N2/PPP2PPP/R1B1K2R b KQkq - 1 8,Bd7,c8d7,0-1
17,White,1502,r2qkbnr/pp1b2pp/2np4/1B1Qp3/4Pp2/2N2N2/PPP2PPP/R1B1K2R w KQkq - 2 9,Bc4,b5c4,0-1
18,Black,1518,r2qkbnr/pp1b2pp/2np4/3Qp3/2B1Pp2/2N2N2/PPP2PPP/R1B1K2R b KQkq - 3 9,Qe7,d8e7,0-1
19,White,1502,r3kbnr/pp1bq1pp/2np4/3Qp3/2B1Pp2/2N2N2/PPP2PPP/R1B1K2R w KQkq - 4 10,Nb5,c3b5,0-1
20,Black,1518,r3kbnr/pp1bq1pp/2np4/1N1Qp3/2B1Pp2/5N2/PPP2PPP/R1B1K2R b KQkq - 5 10,Nf6,g8f6,0-1
21,White,1502,r3kb1r/pp1bq1pp/2np1n2/1N1Qp3/2B1Pp2/5N2/PPP2PPP/R1B1K2R w KQkq - 6 11,Nc7+,b5c7,0-1
22,Black,1518,r3kb1r/ppNbq1pp/2np1n2/3Qp3/2B1Pp2/5N2/PPP2PPP/R1B1K2R b KQkq - 7 11,Kd8,e8d8,0-1
23,White,1502,r2k1b1r/ppNbq1pp/2np1n2/3Qp3/2B1Pp2/5N2/PPP2PPP/R1B1K2R w KQ - 8 12,Ne6+,c7e6,0-1
24,Black,1518,r2k1b1r/pp1bq1pp/2npNn2/3Qp3/2B1Pp2/5N2/PPP2PPP/R1B1K2R b KQ - 9 12,Kc8,d8c8,0-1
1,White,1386,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e4,e2e4,1-0
2,Black,1509,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e6,e7e6,1-0
